pubmed - Repeatability
year,count
2020,1
2019,1534
2018,1882
2017,1716
2016,1624
2015,1588
2014,1410
2013,1399
2012,1251
2011,1126
2010,1043
2009,950
2008,946
2007,865
2006,717
2005,589
2004,613
2003,471
2002,465
2001,435
2000,349
1999,320
1998,277
1997,247
1996,216
1995,198
1994,157
1993,158
1992,129
1991,116
1990,96
1989,97
1988,86
1987,66
1986,57
1985,58
1984,52
1983,45
1982,51
1981,38
1980,35
1979,30
1978,23
1977,25
1976,21
1975,20
1974,3
1973,6
1972,4
1971,6
1970,2
1969,6
1968,1
1967,3
1966,7
1965,4
1964,1
1963,1
1962,2
1961,1
1960,1
1957,2
1954,1
1953,1
1950,1
1947,1
1946,1

