Medline trend for

  Number Year     %000
 1332383 2018 100000.000
 1293434 2017 100000.000
 1280298 2016 100000.000
 1254875 2015 100000.000
 1203198 2014 100000.000
 1147791 2013 100000.000
 1087346 2012 100000.000
 1019526 2011 100000.000
  941498 2010 100000.000
  876889 2009 99999.990
  836336 2008 99999.990
  785875 2007 100000.000
  749011 2006 100000.000
  699723 2005 100000.000
  639064 2004 100000.000
  593980 2003 100000.000
  564938 2002 100000.000
  547360 2001 100000.000
  532321 2000 100000.010
  493641 1999 100000.000
  474572 1998 100000.000
  456623 1997 100000.010
  458495 1996 100000.000
  448937 1995 100000.000
  438013 1994 100000.010
  427251 1993 100000.000
  417743 1992 100000.000
  413052 1991 100000.000
  410701 1990 100000.000
  402505 1989 99999.990
  386793 1988 100000.000
  367787 1987 100000.000
  349495 1986 100000.000
  335151 1985 100000.000
  318132 1984 100000.000
  309395 1983 100000.000
  295623 1982 100000.000
  283541 1981 99999.990
  280624 1980 100000.000
  282071 1979 100000.000
  272526 1978 100000.000
  262170 1977 100000.000
  254911 1976 100000.000
  249159 1975 100000.000
  235065 1974 100000.000
  231080 1973 100000.000
  227806 1972 100000.000
  223608 1971 100000.000
  219358 1970 100000.010
  215299 1969 99999.990
  208105 1968 100000.000
  192002 1967 100000.000
  180137 1966 100000.000
  176678 1965 100000.000
  162040 1964 100000.000
  141478 1963 100000.000
  125695 1962 100000.000
  120125 1961 100000.000
  112169 1960 100000.000
  110006 1959 100000.000
  109469 1958 100000.000
  111529 1957 99999.990
  107015 1956 100000.000
  108562 1955 99999.990
  105942 1954 100000.000
  108924 1953 100000.010
  108182 1952 100000.000
  103821 1951 100000.000
   85792 1950 100000.000


